yourlist:M20160724325D09DDFD8B5D0CFB8A8926E064CD7EB00DBF7	Entry
1743	A0A024R6C9
1743	B7Z6J1
1743	P36957
4967	A0A140VJQ5
4967	B4E3E9
4967	E9PCR7
4967	E9PDF2
4967	Q02218
4171	P49736
4172	B4DUQ9
4172	J3KQ69
4172	P25205
2237	P39748
2237	Q6FHX6
5111	P12004
1974	Q14240
1981	B2RU06
1981	B2RU10
1981	B4DSI9
1981	O95065
1981	Q04637
1981	Q96I65
506	P06576
506	V9HW31
509	P36542
509	Q8TAS0
23019	A5YKK6
9337	B7Z9U0
9337	Q9UFF9
8802	P53597
8803	E5KS60
8803	Q9P2R7
8803	Q9Y4T0
6635	P62304
6636	P62306
6133	P32969
6133	Q53Z07
6210	B2R4W8
6210	P62244
2108	A0A0S2Z3L0
2108	P13804
2109	P38117
23521	P40429
23521	Q8J015
6217	M0R210
6217	P62249
6217	Q6IPX4
5685	P25789
5685	Q7Z474
5687	A0A140VK44
5687	P60900
498	P25705
498	V9HW26
6389	A0A024QZ30
6389	D6RFM5
6389	P31040
6390	P21912
6135	P62913
6135	Q5VVD0
6139	A0A024R261
6139	P18621
6209	K7ELC2
6209	P62841
6188	P23396
4174	B1AHB0
4174	P33992
4176	A0A0S2Z4A5
4176	C6EMX8
4176	P33993
6240	B4DXD1
6240	B4E0I8
6240	E9PL69
6240	P23921
6241	P31350
6193	A0A024R4Q8
6193	P46782
6228	A8K517
6228	P62266
6187	P15880
10421	A0A024QZC1
10421	O95400
23020	O75643
715	P00736
716	P09871
6205	P62280
55753	Q9ULD0
5430	A0A0C4DGZ0
5430	P24928
5431	B4DH29
5431	B4DHJ3
5431	C9J2Y9
5431	C9J4M6
5431	P30876
25885	O95602
84172	B7Z1W6
84172	Q9H9Y6
8801	A0A024R325
8801	Q96I99
9349	A0A024R1Q8
9349	P62829
4723	E5KNH5
4723	P49821
4729	P19404
5160	A0A024RBX9
5160	P08559
5162	P11177
513	P30049
539	P48047
6208	P62263
6222	P62269
4720	B7Z792
4720	O75306
4722	O75489
50484	Q7LG56
6189	B7Z3M5
6189	P61247
6132	P62917
374291	F5H5N1
374291	O75251
374291	Q7LD69
2244	P02675
2244	V9HVY1
2266	A0A140VJJ6
2266	P02679
4512	P00395
4512	U5YWV7
4513	P00403
4513	U5Z487
6147	P62750
5683	A0A024RA52
5683	P25787
6176	A0A024R608
6176	P05386
6181	A0A024RCA7
6181	P05387
4719	E5KRK5
4719	P28331
4728	O00217
4175	Q14566
10291	A0A024R1K8
10291	Q15459
10946	B4DW90
10946	Q12874
7334	P61088
7334	V9HW41
7336	A0M8W4
7336	G3V113
7336	Q15819
6124	P36578
731	P07357
732	B7Z550
732	B7Z555
732	P07358
6218	P08708
5983	A0A024RDQ8
5983	P40938
5984	P35249
6136	P30050
4538	H9EC08
4538	P03905
4540	P03915
4540	U5ZC31
6129	A8MUD9
6129	P18124
6143	J3KTE4
6143	P84098
10755	A0A024R7I0
10755	A0A024R7I1
10755	A8K2I7
10755	O14908
4646	A0A0A0MRM8
4646	A0A0D9SGC1
4646	Q9UM54
57819	Q9Y333
4999	A0A024R411
4999	Q13416
55388	Q7L590
5161	P29803
6144	P46778
6144	Q6IAX2
5434	B4DJ89
5434	P19388
5435	B0QYL9
5435	P61218
6201	P62081
1104	A0A0S2Z3I4
1104	A0A0S2Z404
1104	P18754
1104	Q5T081
5901	B4DV51
5901	P62826
5684	A0A140VK43
5684	P25788
6207	P62277
5718	A0A0S2Z476
5718	A0A0S2Z489
5718	O00232
5719	Q9UNM6
6125	A2RUM7
6125	P46777
5720	A0A0K0K1L8
5720	Q06323
5720	Q86SZ9
5721	Q86SZ7
5721	Q9UL46
6175	A0A024RBS2
6175	P05388
10294	A0A024R6S1
10294	O60884
3312	P11142
3312	Q53HF2
3312	V9HW22
2339	P49354
2342	P49356
11224	P42766
6160	P62899
5701	A0A140VK70
5701	B7Z571
5701	P35998
5704	A8K2M0
5704	P43686
4535	P03886
4535	U5Z754
6202	P62241
6202	Q5JR94
5433	A0A024RAJ4
5433	O15514
5436	P62487
10856	B3KNL2
10856	Q9Y230
8607	B3KRS7
8607	E7ETR0
8607	Q9Y265
8334	A0A024R017
8334	Q93077
